Lilah,F,1150
Miriam,F,1150
Angelina,F,1145
Mckenna,F,1144
Aniyah,F,1140
Phoebe,F,1139
Michelle,F,1137
Thea,F,1137
Hayden,F,1135
Maggie,F,1124
Lucille,F,1118
Amiyah,F,1104
Annie,F,1098
Alexandria,F,1096
Myla,F,1089
Vivienne,F,1087
Kiara,F,1083
Alani,F,1069
Margot,F,1061
Adelaide,F,1057
Briella,F,1054
Brynn,F,1054
Saylor,F,1048
Destiny,F,1037
Amari,F,1032
Evelynn,F,1023
Haven,F,1017
Phoenix,F,1017
Izabella,F,1014
Kaia,F,1007
Lilliana,F,1004
Harlow,F,1001
Alessandra,F,1000
Madilyn,F,997
Nina,F,995
Logan,F,990
Adelynn,F,989
Amina,F,984
Kate,F,982
Fatima,F,979
Samara,F,978
Winter,F,977
Giselle,F,975
Evie,F,968
Arielle,F,964
Jessica,F,962
Talia,F,962
Leia,F,953
Gabriela,F,952
Gracelyn,F,949
Lexi,F,949
Laura,F,944
Makenzie,F,941
Melissa,F,930
Royalty,F,926
Rylie,F,921
Raelyn,F,914
Gabrielle,F,911
Paris,F,909
Daleyza,F,906
Joy,F,906
Maisie,F,902
Oakley,F,902
Ariyah,F,901
Kailani,F,898
Alayah,F,892
Stephanie,F,891
Amora,F,887
Willa,F,885
Gracelynn,F,884
Elle,F,883
Keira,F,882
Tatum,F,880
Veronica,F,875
Milani,F,872
Felicity,F,865
Paislee,F,864
Allie,F,860
Nylah,F,858
Ariah,F,857
Cassidy,F,857
Lyric,F,857
Madeleine,F,856
Miracle,F,854
Gwendolyn,F,845
Octavia,F,844
Dahlia,F,843
Heidi,F,839
Celeste,F,835
Remington,F,832
Makenna,F,828
Everlee,F,826
Scarlet,F,825
Esmeralda,F,820
Maci,F,820
Lainey,F,816
Jacqueline,F,815
Kira,F,812
Lana,F,811
Brinley,F,806
Demi,F,806
Ophelia,F,804
Lennon,F,793
Reign,F,787
Bristol,F,786
Sabrina,F,782
Alaya,F,780
Jennifer,F,780
Kenzie,F,779
Angel,F,777
Luciana,F,777
Anaya,F,775
Hallie,F,774
Ryan,F,772
Camryn,F,771
Kinley,F,767
Daniella,F,766
Lilith,F,766
Blair,F,765
Amanda,F,763
Collins,F,763
Jordan,F,763
Maliyah,F,762
Rosemary,F,760
Cataleya,F,758
Kaylani,F,758
Gia,F,755
